Date,Predicted_Visitors
2017-09-10,21.80693943353195
2017-09-11,25.255094261017398
2017-09-12,24.926214968245475
2017-09-13,23.4002529405118
2017-09-14,22.179337878408674
2017-09-15,23.818624277794143
2017-09-16,23.610187851268826
2017-09-17,20.133379610966266
2017-09-18,25.09654414053653
2017-09-19,24.59034750731436
2017-09-20,19.53529778557907
2017-09-21,20.36056770221922
2017-09-22,23.24888339239304
2017-09-23,23.103992549829517
2017-09-24,19.973271756078663
2017-09-25,23.127439711828806
2017-09-26,23.283951277931664
2017-09-27,21.6978314574911
2017-09-28,23.283156944744874
2017-09-29,22.882441282709877
2017-09-30,24.019596763563072
2017-10-01,19.01511322603712
2017-10-02,25.719634851294476
2017-10-03,23.661230837112328
2017-10-04,20.166594695215366
2017-10-05,19.83474743962806
2017-10-06,23.753884028628537
2017-10-07,22.613122349554715
2017-10-08,20.361539363239984
2017-10-09,22.7844883250468
